model_id,authors,commit_count
deepdml/faster-whisper-large-v3-turbo-ct2,Sonsal,1
deepdml/faster-whisper-large-v3-turbo-ct2,deepdml,13
deepset/roberta-base-squad2,Branden Chan,2
deepset/roberta-base-squad2,MichelBartelsDeepset,2
deepset/roberta-base-squad2,Narsil,1
deepset/roberta-base-squad2,Sebastian,1
deepset/roberta-base-squad2,Tuana,7
deepset/roberta-base-squad2,ZennyKenny,1
deepset/roberta-base-squad2,autoevaluator,2
deepset/roberta-base-squad2,brandenchan,1
deepset/roberta-base-squad2,guillaume-be,1
deepset/roberta-base-squad2,joaogante,2
deepset/roberta-base-squad2,julianrisch,9
deepset/roberta-base-squad2,julien-c,1
deepset/roberta-base-squad2,malte,1
deepset/roberta-base-squad2,notSoNLPnerd,1
deepset/roberta-base-squad2,patrickvonplaten,2
deepset/roberta-base-squad2,sjrhuschlee,2
deepset/roberta-base-squad2,system,14
deepset/roberta-base-squad2,timomo,2
depth-anything/Depth-Anything-V2-Large-hf,pcuenq,4
dicta-il/dictalm2.0-instruct,Shaltiel,8
diffusers/stable-diffusion-xl-1.0-inpainting-0.1,Pobmarku,1
diffusers/stable-diffusion-xl-1.0-inpainting-0.1,multimodalart,1
diffusers/stable-diffusion-xl-1.0-inpainting-0.1,valhalla,9
distil-whisper/distil-large-v3,reach-vb,1
distil-whisper/distil-large-v3,sanchit-gandhi,13
distilbert/distilbert-base-uncased,Marissa,1
distilbert/distilbert-base-uncased,Narsil,1
distilbert/distilbert-base-uncased,RatnaKumar,1
distilbert/distilbert-base-uncased,Thomas Wolf,2
distilbert/distilbert-base-uncased,julien-c,5
distilbert/distilbert-base-uncased,lysandre,2
distilbert/distilbert-base-uncased,patrickvonplaten,2
distilbert/distilbert-base-uncased,system,11
distributed/optimized-gpt2-1b,kmfoda,1865
dmis-lab/biobert-v1.1,patrickvonplaten,2
dmis-lab/biobert-v1.1,system,9
doc2query/msmarco-t5-base-v1,nreimers,1
doc2query/msmarco-t5-base-v1,system,1
dslim/bert-base-NER,Bencle,1
dslim/bert-base-NER,Narsil,1
dslim/bert-base-NER,dslim,14
dslim/bert-base-NER,julien-c,1
dslim/bert-base-NER,lewtun,1
dslim/bert-base-NER,patrickvonplaten,3
dslim/bert-base-NER,system,10
dslim/bert-base-NER,vpkprasanna,1
dtger/dt_style_1,dtger,62
dunzhang/stella_en_400M_v5,JesusCrist,1
dunzhang/stella_en_400M_v5,SFconvertbot,1
dunzhang/stella_en_400M_v5,infgrad,13
dunzhang/stella_en_400M_v5,jiahaunluo,1
dunzhang/stella_en_400M_v5,michaelfeil,1
echarlaix/tiny-random-mistral,echarlaix,3
eenzeenee/t5-base-korean-summarization,SFconvertbot,1
eenzeenee/t5-base-korean-summarization,eenzeenee,15
ehcalabres/wav2vec2-lg-xlsr-en-speech-emotion-recognition,SFconvertbot,1
ehcalabres/wav2vec2-lg-xlsr-en-speech-emotion-recognition,ehcalabres,8
ehcalabres/wav2vec2-lg-xlsr-en-speech-emotion-recognition,system,1
emilyalsentzer/Bio_ClinicalBERT,Emily Alsentzer,3
emilyalsentzer/Bio_ClinicalBERT,Rocketknight1,1
emilyalsentzer/Bio_ClinicalBERT,emilyalsentzer,2
emilyalsentzer/Bio_ClinicalBERT,julien-c,1
emilyalsentzer/Bio_ClinicalBERT,patrickvonplaten,2
emilyalsentzer/Bio_ClinicalBERT,system,11
emrecan/bert-base-turkish-cased-mean-nli-stsb-tr,emrecan,6
emrecan/bert-base-turkish-cased-mean-nli-stsb-tr,system,1
facebook/opt-1.3b,ArthurZ,8
facebook/opt-1.3b,LysandreJik,1
facebook/opt-1.3b,amyeroberts,1
facebook/opt-1.3b,joaogante,2
facebook/opt-1.3b,lysandre,3
facebook/opt-1.3b,patrickvonplaten,12
facebook/opt-1.3b,ybelkada,1
fal-collab-models/dreamshaper-xl-1-0,Icar,3
finiteautomata/beto-sentiment-analysis,finiteautomata,8
finiteautomata/beto-sentiment-analysis,patrickvonplaten,2
finiteautomata/beto-sentiment-analysis,system,12
fixie-ai/ultravox-v0_3,farzadab,16
fixie-ai/ultravox-v0_3,petersalas-fixie,5
fixie-ai/ultravox-v0_3,zkoch,1
flair/ner-english-fast,alanakbik,3
flair/ner-english-fast,julien-c,1
flair/ner-english-fast,system,1
furiosa-ai/mlperf-gpt-j-6b,JasonFuriosa,4
fxmarty/really-tiny-falcon-testing,Félix Marty,2
fxmarty/really-tiny-falcon-testing,fxmarty,1
ggml-org/models,ggerganov,17
ggml-org/models,ngxson,2
ggml-org/models,phymbert,3
ggrazzioli/cls_sentimento_sebrae,ggrazzioli,5
ggrazzioli/cls_sentimento_sebrae,system,2
ghunkins/prompt-expansion,ghunkins,2
gilf/french-camembert-postag-model,SFconvertbot,1
gilf/french-camembert-postag-model,gilf,1
gilf/french-camembert-postag-model,julien-c,1
gilf/french-camembert-postag-model,system,11
google-bert/bert-base-uncased,Narsil,1
google-bert/bert-base-uncased,PrisinMike,1
google-bert/bert-base-uncased,Thomas Wolf,1
google-bert/bert-base-uncased,asifanchor,1
google-bert/bert-base-uncased,buio,1
google-bert/bert-base-uncased,fxmarty,1
google-bert/bert-base-uncased,julien-c,3
google-bert/bert-base-uncased,lysandre,4
google-bert/bert-base-uncased,mixx,1
google-bert/bert-base-uncased,patrickvonplaten,4
google-bert/bert-base-uncased,pcuenq,1
google-bert/bert-base-uncased,sasaadi,1
google-bert/bert-base-uncased,sgugger,1
google-bert/bert-base-uncased,stevezhanggeek,1
google-bert/bert-base-uncased,system,11
google-t5/t5-small,Felix Marty,1
google-t5/t5-small,Julien Chaumond,1
google-t5/t5-small,Marissa,1
google-t5/t5-small,SFconvertbot,1
google-t5/t5-small,Xenova,2
google-t5/t5-small,fxmarty,3
google-t5/t5-small,guillaume-be,1
google-t5/t5-small,ivan0703,1
google-t5/t5-small,joaogante,1
google-t5/t5-small,julien-c,2
google-t5/t5-small,lbourdois,1
google-t5/t5-small,osanseviero,3
google-t5/t5-small,patrickvonplaten,5
google-t5/t5-small,sgugger,4
google-t5/t5-small,stas,1
google-t5/t5-small,system,12
google/vit-base-patch16-224-in21k,SFconvertbot,1
google/vit-base-patch16-224-in21k,nielsr,17
google/vit-base-patch16-224-in21k,system,1
google/vit-base-patch16-224-in21k,valhalla,1
h2oai/h2ogpt-4096-llama2-7b-chat,arnocandel,10
h94/IP-Adapter-FaceID,Renast,1
h94/IP-Adapter-FaceID,h94,41
h94/IP-Adapter-FaceID,matt3ounstable,1
h94/IP-Adapter-FaceID,multimodalart,1
h94/IP-Adapter-FaceID,sharoz,1
hfl/chinese-roberta-wwm-ext,Joint Laboratory of HIT and iFLYTEK Research (HFL),1
hfl/chinese-roberta-wwm-ext,hfl-rc,3
hfl/chinese-roberta-wwm-ext,patrickvonplaten,2
hfl/chinese-roberta-wwm-ext,system,10
hfl/chinese-roberta-wwm-ext,ymcui,1
hiiamsid/sentence_similarity_spanish_es,SFconvertbot,1
hiiamsid/sentence_similarity_spanish_es,hiiamsid,24
hiiamsid/sentence_similarity_spanish_es,system,1
hkunlp/instructor-large,multi-train,38
hkunlp/instructor-large,tianbaoxiexxx,4
hpcai-tech/OpenSora-VAE-v1.2,frankleeeee,5
huawei-noah/TinyBERT_General_4L_312D,Canwen Xu,1
huawei-noah/TinyBERT_General_4L_312D,julien-c,1
huawei-noah/TinyBERT_General_4L_312D,patrickvonplaten,2
huawei-noah/TinyBERT_General_4L_312D,system,4
hugging-quants/Llama-3.2-1B-Instruct-Q8_0-GGUF,reach-vb,5
huggyllama/llama-7b,Rocketknight1,1
huggyllama/llama-7b,huggyllama,6
hustvl/vitmatte-small-composition-1k,SFconvertbot,1
hustvl/vitmatte-small-composition-1k,nielsr,6
ibm-granite/granite-timeseries-ttm-r1,vijaye12,67
ibm-granite/granite-timeseries-ttm-r1,wmgifford,8
indobenchmark/indobert-base-p1,julien-c,1
indobenchmark/indobert-base-p1,patrickvonplaten,2
indobenchmark/indobert-base-p1,system,7
internlm/internlm-xcomposer2d5-clip,DLight1551,1
internlm/internlm-xcomposer2d5-clip,myownskyW7,2
intfloat/e5-large-v2,SFconvertbot,1
intfloat/e5-large-v2,hansihe,1
intfloat/e5-large-v2,intfloat,10
j-hartmann/emotion-english-distilroberta-base,j-hartmann,60
j-hartmann/emotion-english-distilroberta-base,joaogante,1
j-hartmann/emotion-english-distilroberta-base,system,1
jbetker/wav2vec2-large-robust-ft-libritts-voxpopuli,jbetker,3
jbetker/wav2vec2-large-robust-ft-libritts-voxpopuli,system,1
jhgan/ko-sroberta-multitask,jhgan,5
jhgan/ko-sroberta-multitask,joaogante,1
jhgan/ko-sroberta-multitask,system,1
jinaai/jina-embeddings-v3,Jackmin108,1
jinaai/jina-embeddings-v3,Xenova,1
jinaai/jina-embeddings-v3,bwang0911,36
jinaai/jina-embeddings-v3,edwardjross,1
jinaai/jina-embeddings-v3,jupyterjazz,19
jinaai/jina-embeddings-v3,knysfh,1
jinaai/jina-embeddings-v3,makram93,2
jinaai/jina-embeddings-v3,michael-guenther,1
jinaai/jina-embeddings-v3,nan,8
jinaai/jina-embeddings-v3,pewh,1
joeddav/xlm-roberta-large-xnli,Joe Davison,2
joeddav/xlm-roberta-large-xnli,SFconvertbot,1
joeddav/xlm-roberta-large-xnli,bourdoiscatie,1
joeddav/xlm-roberta-large-xnli,joeddav,6
joeddav/xlm-roberta-large-xnli,julien-c,1
joeddav/xlm-roberta-large-xnli,system,12
jonatasgrosman/wav2vec2-large-xlsr-53-english,Patrick von Platen,2
jonatasgrosman/wav2vec2-large-xlsr-53-english,SFconvertbot,1
jonatasgrosman/wav2vec2-large-xlsr-53-english,anton-l,5
jonatasgrosman/wav2vec2-large-xlsr-53-english,jonatasgrosman,21
jonatasgrosman/wav2vec2-large-xlsr-53-english,patrickvonplaten,1
jonatasgrosman/wav2vec2-large-xlsr-53-english,system,1
jonathandinu/face-parsing,SFconvertbot,1
jonathandinu/face-parsing,Xenova,2
jonathandinu/face-parsing,jonathandinu,16
jondurbin/unstuffer-v0.2,jondurbin,3
jordiclive/flan-t5-3b-summarizer,jordiclive,19
jtlicardo/bpmn-information-extraction-v2,SFconvertbot,1
jtlicardo/bpmn-information-extraction-v2,jtlicardo,9
jtlicardo/bpmn-information-extraction-v2,librarian-bot,1
jukofyork/creative-writing-control-vectors-v3.0,jukofyork,63
katuni4ka/tiny-random-baichuan2,katuni4ka,14
kingabzpro/wav2vec2-large-xls-r-300m-Urdu,SFconvertbot,1
kingabzpro/wav2vec2-large-xls-r-300m-Urdu,anton-l,1
kingabzpro/wav2vec2-large-xls-r-300m-Urdu,kingabzpro,47
kingabzpro/wav2vec2-large-xls-r-300m-Urdu,librarian-bot,1
kingabzpro/wav2vec2-large-xls-r-300m-Urdu,system,1
koheiduck/bert-japanese-finetuned-sentiment,koheiduck,4
kredor/punctuate-all,Orlin,14
kresnik/wav2vec2-large-xlsr-korean,SFconvertbot,1
kresnik/wav2vec2-large-xlsr-korean,kresnik,27
kresnik/wav2vec2-large-xlsr-korean,system,1
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,yairschiff,13
kykim/bert-kor-base,kykim,3
kykim/bert-kor-base,patrickvonplaten,2
kykim/bert-kor-base,system,1
kyutai/mimi,ylacombe,7
laion/CLIP-ViT-B-16-laion2B-s34B-b88K,Ross Wightman,1
laion/CLIP-ViT-B-16-laion2B-s34B-b88K,rwightman,10
latent-consistency/lcm-lora-sdv1-5,SimianLuo,1
latent-consistency/lcm-lora-sdv1-5,patrickvonplaten,11
latent-consistency/lcm-lora-sdv1-5,valhalla,6
lengyue233/content-vec-best,lengyue233,3
lewtun/tiny-random-mt5,lewtun,3
liuhaotian/llava-v1.5-7b,Haotian Liu,1
liuhaotian/llava-v1.5-7b,liuhaotian,3
liuhaotian/llava-v1.5-7b,nielsr,1
liuhaotian/llava-v1.5-7b,osanseviero,1
llamafactory/tiny-random-Llama-3,hiyouga,12
llava-hf/llava-v1.6-mistral-7b-hf,RaushanTurganbay,13
llava-hf/llava-v1.6-mistral-7b-hf,merve,2
llava-hf/llava-v1.6-mistral-7b-hf,mirof,1
llava-hf/llava-v1.6-mistral-7b-hf,nielsr,15
llava-hf/llava-v1.6-mistral-7b-hf,yahya007,1
lllyasviel/sd-controlnet-canny,mishig,1
lllyasviel/sd-controlnet-canny,patrickvonplaten,13
lllyasviel/sd-controlnet-canny,williamberman,6
lmsys/vicuna-7b-v1.5,chujiezheng,1
lmsys/vicuna-7b-v1.5,lmzheng,13
lmsys/vicuna-7b-v1.5,weichiang,1
lucas-leme/FinBERT-PT-BR,lucas-leme,13
lxyuan/distilbert-base-multilingual-cased-sentiments-student,SFconvertbot,1
lxyuan/distilbert-base-multilingual-cased-sentiments-student,lxyuan,5
madebyollin/sdxl-vae-fp16-fix,madebyollin,24
madebyollin/sdxl-vae-fp16-fix,patrickvonplaten,2
madhurjindal/autonlp-Gibberish-Detector-492513457,SFconvertbot,3
madhurjindal/autonlp-Gibberish-Detector-492513457,abhishek,1
madhurjindal/autonlp-Gibberish-Detector-492513457,asofter,1
madhurjindal/autonlp-Gibberish-Detector-492513457,avielmak,1
madhurjindal/autonlp-Gibberish-Detector-492513457,madhurjindal,8
madhurjindal/autonlp-Gibberish-Detector-492513457,system,1
malteos/scincl,SFconvertbot,1
malteos/scincl,malteos,16
malteos/scincl,system,2
martin-ha/toxic-comment-model,martin-ha,11
martin-ha/toxic-comment-model,system,1
mattmdjaga/segformer_b2_clothes,DeokGyu,1
mattmdjaga/segformer_b2_clothes,SFconvertbot,1
mattmdjaga/segformer_b2_clothes,mattmdjaga,26
mattmdjaga/segformer_b2_clothes,nielsr,1
michaelfeil/bge-small-en-v1.5,ctranslate2-4you,1
michaelfeil/bge-small-en-v1.5,michaelfeil,6
michellejieli/emotion_text_classifier,michellejieli,12
microsoft/resnet-50,SFconvertbot,1
microsoft/resnet-50,Shubhamai,1
microsoft/resnet-50,amyeroberts,1
microsoft/resnet-50,nielsr,5
microsoft/resnet-50,regisss,1
microsoft/resnet-50,zuppif,3
mixedbread-ai/mxbai-embed-large-v1,Aamir,2
mixedbread-ai/mxbai-embed-large-v1,CoralLeiCN,1
mixedbread-ai/mxbai-embed-large-v1,RuiTheBaker,1
mixedbread-ai/mxbai-embed-large-v1,SeanLee97,4
mixedbread-ai/mxbai-embed-large-v1,Xenova,2
mixedbread-ai/mxbai-embed-large-v1,aamirshakir,4
mixedbread-ai/mxbai-embed-large-v1,iamlemec,1
mixedbread-ai/mxbai-embed-large-v1,jdwh08s,1
mixedbread-ai/mxbai-embed-large-v1,juliuslipp,14
mixedbread-ai/mxbai-embed-large-v1,michaelfeil,1
mixedbread-ai/mxbai-embed-large-v1,mixed-nlp,5
mixedbread-ai/mxbai-embed-large-v1,tomaarsen,2
ml6team/keyphrase-extraction-distilbert-inspec,DeDeckerThomas,12
ml6team/keyphrase-extraction-distilbert-inspec,Thomas De Decker,2
modularai/llama-3.1,jackos,3
modularai/llama-3.1,modularbot,2
mohitsha/tiny-random-testing-bert2gpt2,mohitsha,3
moka-ai/m3e-base,Howardxuan,2
moka-ai/m3e-base,MokaHR,17
moka-ai/m3e-base,SFconvertbot,1
moka-ai/m3e-base,wangyuxin,14
monologg/kobert,SFconvertbot,1
monologg/kobert,monologg,6
monologg/kobert,patrickvonplaten,2
monologg/kobert,system,12
mpoyraz/wav2vec2-xls-r-300m-cv7-turkish,anton-l,2
mpoyraz/wav2vec2-xls-r-300m-cv7-turkish,mpoyraz,5
mpoyraz/wav2vec2-xls-r-300m-cv7-turkish,system,2
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,SFconvertbot,1
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,mrm8488,21
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,system,1
mtg-upf/discogs-maest-30s-pw-129e,p-alonso,27
myshell-ai/MeloTTS-English,ZenQin,3
myshell-ai/MeloTTS-English,ylacombe,2
nateraw/vit-age-classifier,Rucy,1
nateraw/vit-age-classifier,SFconvertbot,1
nateraw/vit-age-classifier,nateraw,4
nateraw/vit-age-classifier,system,1
nateraw/vit-age-classifier,yourusername,3
naver/splade-cocondenser-selfdistil,tformal,9
ncbi/MedCPT-Query-Encoder,SFconvertbot,1
ncbi/MedCPT-Query-Encoder,qiaojin,14
nesaorg/benchmark_v0,jamesdslab2,7
neulab/codebert-java,urialon,5
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,Lin-K76,12
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,alexmarques,3
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,mgoin,1
neuralmind/bert-base-portuguese-cased,joaogante,1
neuralmind/bert-base-portuguese-cased,julien-c,1
neuralmind/bert-base-portuguese-cased,neuralmind,1
neuralmind/bert-base-portuguese-cased,patrickvonplaten,2
neuralmind/bert-base-portuguese-cased,system,9
nferruz/ProtGPT2,Noelia Ferruz,14
nferruz/ProtGPT2,fstocco,1
nferruz/ProtGPT2,nferruz,8
nfliu/deberta-v3-large_boolq,SFconvertbot,1
nfliu/deberta-v3-large_boolq,nfliu,19
nguyenvulebinh/wav2vec2-base-vi,nguyenvulebinh,7
nlpaueb/legal-bert-base-uncased,julien-c,1
nlpaueb/legal-bert-base-uncased,nlpaueb,13
nlpaueb/legal-bert-base-uncased,patrickvonplaten,2
nlpaueb/legal-bert-base-uncased,system,7
nlpconnect/vit-gpt2-image-captioning,ankur310794,11
nlpconnect/vit-gpt2-image-captioning,commonslash,1
nlpconnect/vit-gpt2-image-captioning,itsog,1
nlpconnect/vit-gpt2-image-captioning,nielsr,2
nlpconnect/vit-gpt2-image-captioning,system,1
nlpconnect/vit-gpt2-image-captioning,vishank97,1
nlptown/bert-base-multilingual-uncased-sentiment,julien-c,1
nlptown/bert-base-multilingual-uncased-sentiment,lysandre,1
nlptown/bert-base-multilingual-uncased-sentiment,machprod,1
nlptown/bert-base-multilingual-uncased-sentiment,nlptown,5
nlptown/bert-base-multilingual-uncased-sentiment,patrickvonplaten,2
nlptown/bert-base-multilingual-uncased-sentiment,rajKisHor,1
nlptown/bert-base-multilingual-uncased-sentiment,system,8
nomic-ai/nomic-embed-text-v1.5,MaxNomic,1
nomic-ai/nomic-embed-text-v1.5,Xenova,3
nomic-ai/nomic-embed-text-v1.5,michaelfeil,2
nomic-ai/nomic-embed-text-v1.5,zpn,28
ntu-spml/distilhubert,SFconvertbot,1
ntu-spml/distilhubert,anton-l,2
ntu-spml/distilhubert,patrickvonplaten,1
ntu-spml/distilhubert,speech-test,3
ntu-spml/distilhubert,system,1
ntu-spml/distilhubert,voidful,1
numind/NuNER_Zero,Serega6678,24
numind/NuNER_Zero,etiennebcp,12
nvidia/speakerverification_en_titanet_large,nithinraok,14
nvidia/speakerverification_en_titanet_large,smajumdar94,3
obh07/multilingual-e5-base-dolly-15k,obh07,2
obi/deid_roberta_i2b2,prajwal967,4
obi/deid_roberta_i2b2,system,2
oliverguhr/fullstop-punctuation-multilang-large,SFconvertbot,1
oliverguhr/fullstop-punctuation-multilang-large,aliaagheis,1
oliverguhr/fullstop-punctuation-multilang-large,joaogante,1
oliverguhr/fullstop-punctuation-multilang-large,libooo,1
oliverguhr/fullstop-punctuation-multilang-large,oliverguhr,25
oliverguhr/fullstop-punctuation-multilang-large,system,1
openai-community/gpt2,Narsil,1
openai-community/gpt2,fxmarty,1
openai-community/gpt2,joaogante,2
openai-community/gpt2,julien-c,4
openai-community/gpt2,lysandre,1
openai-community/gpt2,mathemakitten,1
openai-community/gpt2,patrickvonplaten,2
openai-community/gpt2,sgugger,2
openai-community/gpt2,system,15
openai/clip-vit-large-patch14,SFconvertbot,1
openai/clip-vit-large-patch14,SaulLu,1
openai/clip-vit-large-patch14,arda13olmez,1
openai/clip-vit-large-patch14,julien-c,1
openai/clip-vit-large-patch14,lysandre,1
openai/clip-vit-large-patch14,mishig,1
openai/clip-vit-large-patch14,patrickvonplaten,1
openai/clip-vit-large-patch14,system,1
openai/clip-vit-large-patch14,valhalla,6
openart-custom/AlbedoBase,Icar,2
openlm-research/open_llama_3b_v2,young-geng,3
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,SFconvertbot,1
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,zhichao-geng,12
optimum-internal-testing/tiny-random-llama,echarlaix,2
owkin/phikon,1aurent,1
owkin/phikon,EazyAl,9
owkin/phikon,afiliot,18
padmajabfrl/Gender-Classification,Padmaj Srivastav,6
papluca/xlm-roberta-base-language-detection,SFconvertbot,1
papluca/xlm-roberta-base-language-detection,lbourdois,1
papluca/xlm-roberta-base-language-detection,librarian-bot,2
papluca/xlm-roberta-base-language-detection,papluca,13
papluca/xlm-roberta-base-language-detection,system,1
patrickjohncyh/fashion-clip,SFconvertbot,1
patrickjohncyh/fashion-clip,baguettesesame,1
patrickjohncyh/fashion-clip,patrickjohncyh,30
patrickjohncyh/fashion-clip,vinid,3
patrickvonplaten/wavlm-libri-clean-100h-base-plus,patrickvonplaten,5
patrickvonplaten/wavlm-libri-clean-100h-base-plus,system,1
pdelobelle/robbert-v2-dutch-base,Pieter Delobelle,3
pdelobelle/robbert-v2-dutch-base,SFconvertbot,1
pdelobelle/robbert-v2-dutch-base,julien-c,2
pdelobelle/robbert-v2-dutch-base,patrickvonplaten,2
pdelobelle/robbert-v2-dutch-base,pdelobelle,7
pdelobelle/robbert-v2-dutch-base,system,19
peft-internal-testing/tiny-dummy-qwen2,BenjaminB,3
petals-team/StableBeluga2,borzunov,8
petals-team/StableBeluga2,j879,13
philschmid/bart-large-cnn-samsum,autoevaluator,2
philschmid/bart-large-cnn-samsum,lewtun,1
philschmid/bart-large-cnn-samsum,nbroad,1
philschmid/bart-large-cnn-samsum,philschmid,12
philschmid/bart-large-cnn-samsum,system,1
pierreguillou/ner-bert-base-cased-pt-lenerbr,pierreguillou,28
pierreguillou/ner-bert-base-cased-pt-lenerbr,system,1
playgroundai/playground-v2.5-1024px-aesthetic,Daiqing,4
playgroundai/playground-v2.5-1024px-aesthetic,aykamko,21
playgroundai/playground-v2.5-1024px-aesthetic,ehsanakh,13
playgroundai/playground-v2.5-1024px-aesthetic,justinlau,2
playgroundai/playground-v2.5-1024px-aesthetic,linrock,1
playgroundai/playground-v2.5-1024px-aesthetic,pcuenq,1
pparasurama/raceBERT-ethnicity,pparasurama,2
pparasurama/raceBERT-ethnicity,system,1
prajjwal1/bert-small,prajjwal1,4
prajjwal1/bert-small,system,5
princeton-nlp/sup-simcse-roberta-large,Tianyu Gao,1
princeton-nlp/sup-simcse-roberta-large,nazneen,1
princeton-nlp/sup-simcse-roberta-large,patrickvonplaten,2
princeton-nlp/sup-simcse-roberta-large,princeton-nlp,1
princeton-nlp/sup-simcse-roberta-large,system,1
prithivida/parrot_paraphraser_on_T5,prithivida,21
prithivida/parrot_paraphraser_on_T5,system,1
prs-eth/marigold-normals-lcm-v0-1,KevinQu7,2
prs-eth/marigold-normals-lcm-v0-1,toshas,9
pysentimiento/robertuito-sentiment-analysis,SFconvertbot,1
pysentimiento/robertuito-sentiment-analysis,finiteautomata,14
pysentimiento/robertuito-sentiment-analysis,joaogante,1
pysentimiento/robertuito-sentiment-analysis,system,1
qanastek/51-languages-classifier,qanastek,4
reazon-research/reazonspeech-nemo-v2,fujimotos,3
rinna/japanese-cloob-vit-b-16,SFconvertbot,1
rinna/japanese-cloob-vit-b-16,keisawada,3
rinna/japanese-cloob-vit-b-16,mkshing,13
rizvandwiki/gender-classification,SFconvertbot,1
rizvandwiki/gender-classification,rizvandwiki,4
s-nlp/roberta_toxicity_classifier,dardem,10
s-nlp/roberta_toxicity_classifier,etomoscow,3
s-nlp/roberta_toxicity_classifier,system,1
salmanshahid/vad,salmanshahid,4
sanchit-gandhi/whisper-medium-fleurs-lang-id,SFconvertbot,1
sanchit-gandhi/whisper-medium-fleurs-lang-id,librarian-bot,1
sanchit-gandhi/whisper-medium-fleurs-lang-id,sanchit-gandhi,14
seara/rubert-tiny2-russian-sentiment,SFconvertbot,1
seara/rubert-tiny2-russian-sentiment,seara,15
sentence-transformers-testing/stsb-bert-tiny-safetensors,tomaarsen,5
sentence-transformers/all-mpnet-base-v2,SFconvertbot,1
sentence-transformers/all-mpnet-base-v2,espejelomar,7
sentence-transformers/all-mpnet-base-v2,nreimers,4
sentence-transformers/all-mpnet-base-v2,system,1
sentence-transformers/all-mpnet-base-v2,tomaarsen,15
sentinet/suicidality,SFconvertbot,1
sentinet/suicidality,Yasin Dus,2
sentinet/suicidality,sentinet,4
sentinet/suicidality,sukanta,5
shahrukhx01/bert-mini-finetune-question-detection,SFconvertbot,1
shahrukhx01/bert-mini-finetune-question-detection,shahrukhx01,13
shahrukhx01/bert-mini-finetune-question-detection,system,1
shi-labs/oneformer_coco_swin_large,nielsr,1
shi-labs/oneformer_coco_swin_large,praeclarumjj3,22
shibing624/text2vec-base-chinese,Haxy,1
shibing624/text2vec-base-chinese,SFconvertbot,1
shibing624/text2vec-base-chinese,shibing624,29
shibing624/text2vec-base-chinese,silenuz,1
shibing624/text2vec-base-chinese,system,1
shibing624/text2vec-base-chinese,tomaarsen,3
smallcloudai/Refact-1_6B-fim,SFconvertbot,1
smallcloudai/Refact-1_6B-fim,katek,2
smallcloudai/Refact-1_6B-fim,mityasmc,1
smallcloudai/Refact-1_6B-fim,olegklimov,1
smallcloudai/Refact-1_6B-fim,svakhreev,30
solidrust/Codestral-22B-v0.1-hf-AWQ,Suparious,5
sonoisa/sentence-bert-base-ja-mean-tokens-v2,SFconvertbot,1
sonoisa/sentence-bert-base-ja-mean-tokens-v2,sonoisa,15
sonoisa/sentence-bert-base-ja-mean-tokens-v2,system,1
speechbrain/spkrec-ecapa-voxceleb,Adel-Moumen,2
speechbrain/spkrec-ecapa-voxceleb,Gastron,1
speechbrain/spkrec-ecapa-voxceleb,Mirco,6
speechbrain/spkrec-ecapa-voxceleb,Titouan,1
speechbrain/spkrec-ecapa-voxceleb,cemsubakan,1
speechbrain/spkrec-ecapa-voxceleb,mirco,5
speechbrain/spkrec-ecapa-voxceleb,mishig,1
speechbrain/spkrec-ecapa-voxceleb,osanseviero,4
speechbrain/spkrec-ecapa-voxceleb,speechbrainteam,21
speechbrain/spkrec-ecapa-voxceleb,system,1
sshleifer/distilbart-cnn-12-6,guillaume-be,1
sshleifer/distilbart-cnn-12-6,sgugger,1
sshleifer/distilbart-cnn-12-6,system,22
sshleifer/distilbart-cnn-12-6,valhalla,1
stabilityai/stable-diffusion-xl-base-1.0,MysteryGuitarMan,2
stabilityai/stable-diffusion-xl-base-1.0,PipFoweraker,1
stabilityai/stable-diffusion-xl-base-1.0,Robin Rombach,3
stabilityai/stable-diffusion-xl-base-1.0,echarlaix,4
stabilityai/stable-diffusion-xl-base-1.0,multimodalart,4
stabilityai/stable-diffusion-xl-base-1.0,patrickvonplaten,9
stabilityai/stable-diffusion-xl-base-1.0,rromb,13
stable-diffusion-v1-5/stable-diffusion-inpainting,sd-legacy,1
stablediffusionapi/realistic-vision-51,adhikjoshi,2
stepfun-ai/GOT-OCR2_0,ucaslcl,91
tasksource/deberta-small-long-nli,sileod,14
tencent/DepthCrafter,sdsdsdadasd3,1
tencent/DepthCrafter,wbhu-tc,3
textattack/bert-base-uncased-snli,patrickvonplaten,2
textattack/bert-base-uncased-snli,system,25
theainerd/Wav2Vec2-large-xlsr-hindi,SFconvertbot,1
theainerd/Wav2Vec2-large-xlsr-hindi,patrickvonplaten,1
theainerd/Wav2Vec2-large-xlsr-hindi,system,1
theainerd/Wav2Vec2-large-xlsr-hindi,theainerd,10
thenlper/gte-large,FL33TW00D,1
thenlper/gte-large,prrao,1
